REF_ID,PRED_ID,DATA_AGGR_CODE,PRED_SCI_NAME,TOT_PRED_STOM_EXAM,TOT_W_FD,PCT_W_FD,TOT_WO_FD,PCT_WO_FD,PRED_DEN,SEX,SEX_RATIO,LIFE_HIST_STAGE,LEN_TYPE,MIN_LEN,MAX_LEN,MN_LEN,MIN_AGE,MAX_AGE,MN_AGE,MIN_WT,MAX_WT,MN_WT,TOT_WT,BIOMASS_DEN,STOM_PCT_FULL,STOM_COND_INDEX,TOT_FD_BIOMASS,TOT_FD_VOL,TOT_FD_CAT,TOT_FD_CAT_W_CNT_DATA,TOT_FD_ITEMS_IN_CAT_W_CNT_DATA,PREDATOR_NOTES,POP _TOT_PRED,POP_PRED_DEN,POP_SEX_RATIO,POP_LIFE_HIST_STAGE,POP_LEN_TYPE,POP_MIN_LEN,POP_MAX_LEN,POP_MN_LEN,POP_MIN_AGE,POP_MAX_AGE,POP_MN_AGE,POP_MIN_WT,POP_MAX_WT,POP_MN_WT,POP_TOT_WT,POP_BIOMASS_DEN
16r,Cchr.1,complete,Chloroscombrus chrysurus,66,61,0.9242,5,0.0758,NA,NA,NA,adult,SL,101,150,125.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Cchr.2,size,Chloroscombrus chrysurus,26,23,0.8846,3,0.1154,NA,NA,NA,adult,SL,101,125,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Cchr.3,size,Chloroscombrus chrysurus,40,38,0.95,2,0.05,NA,NA,NA,adult,SL,126,150,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Cchr.5,location,Chloroscombrus chrysurus,21,20,0.9524,1,0.0476,NA,NA,NA,adult,SL,101,150,125.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,4,0,NA,"This group did not have the length range specified, but they are the group of fishes that were uncategorized that were of this length category.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Cchr.4,location,Chloroscombrus chrysurus,45,41,0.9111,4,0.0889,NA,NA,NA,adult,SL,101,150,125.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,7,0,NA,"This group did not have the length range specified, but they are the group of fishes that were uncategorized that were of this length category.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Cchr.1,complete,Chloroscombrus chrysurus,32,7,0.2188,25,0.7813,NA,NA,NA,adult,SL,99,172,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17b,Scav.1,complete,Scomberomorus cavalla,306,127,0.416,179,0.584,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,NA,Fish stomachs were collected from charter boats and are assumed to be adult fish.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61b,Scav.1,complete,Scomberomorus cavalla,NA,NA,NA,NA,NA,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,Fish stomachs were collected from fish caught during a fishing tournament and are assumed to be adult.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.1,depth,Micropogonias undulatus,802,537,0.67,265,0.33,NA,NA,NA,NA,SL,95,124,109.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.2,depth,Micropogonias undulatus,1236,927,0.75,309,0.25,NA,NA,NA,NA,SL,125,163,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.3,depth,Micropogonias undulatus,352,222,0.63,130,0.37,NA,NA,NA,NA,SL,95,124,109.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.4,depth,Micropogonias undulatus,582,262,0.45,320,0.55,NA,NA,NA,NA,SL,125,149,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.5,depth,Micropogonias undulatus,14,3,0.21,11,0.79,NA,NA,NA,NA,SL,150,163,156.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.6,complete,Micropogonias undulatus,2903,1858,0.64,1045,0.36,NA,NA,NA,NA,SL,95,163,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.7,complete,Micropogonias undulatus,2903,1858,0.64,1045,0.36,NA,NA,NA,NA,SL,95,163,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Mund.1,complete,Micropogonias undulatus,118,115,0.97,3,0.03,NA,NA,NA,NA,SL,51,125,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Mund.2,size,Micropogonias undulatus,26,25,0.96,1,0.04,NA,NA,NA,NA,SL,51,75,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
